Data_Hora,IdTweet,Tweet,Candidato,Tweet_limpo
2022-08-01 12:18:28+00:00,1554079113023029249,"@tempotempotemp @BlogdoNoblat @cirogomes @LulaOficial @tassojereissati Tudo bem, se sua fixação está nesse ponto, sugiro que você faça contato com a direção do partido ou até com o próprio candidato. O que defendo em Ciro é a sua capacidade de gestor público, sua trajetória política limpa e seu projeto de país. Defenda o que achar melhor irmão.",Ciro,"     tudo bem, se sua fixação está nesse ponto, sugiro que você faça contato com a direção do partido ou até com o próprio candidato. o que defendo em ciro é a sua capacidade de gestor público, sua trajetória política limpa e seu projeto de país. defenda o que achar melhor irmão."
2022-08-01 12:18:17+00:00,1554079064838885379,"@cirogomes Precisa se tratar melhor, procure um médico (psiquiatra) rapidamente.",Ciro," precisa se tratar melhor, procure um médico (psiquiatra) rapidamente."
2022-08-01 12:18:11+00:00,1554079041799557187,"Onde encontro, hein @cirogomes? https://t.co/cljSzsvPKj",Ciro,"onde encontro, hein  "
2022-08-01 12:18:10+00:00,1554079036715974656,@diogomainardi Ciro Gomes. O Cirão da massa. https://t.co/bTIObv36vn,Ciro, ciro gomes. o cirão da massa. 
2022-08-01 12:18:06+00:00,1554079019427135490,"@cirogomes @CartunistaT Não foi por falta de avisa. Desde o início, o teimoso Gomes bateu pé defendendo o Santana, q TODOS sabíamos, iría destruir o q lhe restou. Quem não escuta cuidado, pode se que escute coitado.
Mas coitado o Sr não é. 
O Mestre dos Magos foi a pá de cal.",Ciro,"  não foi por falta de avisa. desde o início, o teimoso gomes bateu pé defendendo o santana, q todos sabíamos, iría destruir o q lhe restou. quem não escuta cuidado, pode se que escute coitado.mas coitado o sr não é. o mestre dos magos foi a pá de cal."
2022-08-01 12:18:04+00:00,1554079011613057026,@unatalie @cirogomes Respeita o Ciro Games,Ciro,  respeita o ciro games
2022-08-01 12:17:56+00:00,1554078979837018113,"@yehoshuanamaha @nobre_vagabund0 @cirogomes Freud? Um charlatão anti-história, só essa esquerda lulopetista degenerada aceita essa teoria de sexualidade infantil",Ciro,"   freud? um charlatão anti-história, só essa esquerda lulopetista degenerada aceita essa teoria de sexualidade infantil"
2022-08-01 12:17:56+00:00,1554078976691273736,"@cirogomes Em 14 anos o PT pariu Bolsonaro, deixou como legado a tomada de 3 pinos e deixou uma ilusão que fez muitas coisas ao pobres,o resto foram migalhas",Ciro," em 14 anos o pt pariu bolsonaro, deixou como legado a tomada de 3 pinos e deixou uma ilusão que fez muitas coisas ao pobres,o resto foram migalhas"
2022-08-01 12:17:55+00:00,1554078972375453703,"E é tão necessário as críticas que @cirogomes e outros políticos fazem ao PT e a Lula

A esquerda precisa de alguém para interpretar o nosso grito de independência da esquerda contra essa corja de safados que a monopolizam",Ciro,e é tão necessário as críticas que  e outros políticos fazem ao pt e a lulaa esquerda precisa de alguém para interpretar o nosso grito de independência da esquerda contra essa corja de safados que a monopolizam
2022-08-01 12:17:39+00:00,1554078908856864768,"@BrunoAlencar @cirogomes deixa eu ver aqui...ah sim, ele falou apenas verdades...deve ser este o motivo dos 8%, pq o brasileiro prefere a mentira da picanha e cerveja ou a mentira do combate ao comunismo...",Ciro,"  deixa eu ver aqui...ah sim, ele falou apenas verdades...deve ser este o motivo dos 8%, pq o brasileiro prefere a mentira da picanha e cerveja ou a mentira do combate ao comunismo..."
2022-08-01 12:17:37+00:00,1554078897511301120,"@cirogomes É isso mesmo, Ciro. Não tem nenhuma lógica colocar no lugar do Bozo aquele que o criou. Ainda mais mostrando que vai cometer os mesmos conchavos políticos do passado.",Ciro," é isso mesmo, ciro. não tem nenhuma lógica colocar no lugar do bozo aquele que o criou. ainda mais mostrando que vai cometer os mesmos conchavos políticos do passado."
2022-08-01 12:17:33+00:00,1554078882927607810,Vamos conferir galera esperta! Em outubro é @cirogomes na cabeça! https://t.co/AnnZnxYmRa,Ciro,vamos conferir galera esperta! em outubro é  na cabeça! 
2022-08-01 12:17:27+00:00,1554078855111090177,@cirogomes @GloboNews Não.,Ciro,  não.
2022-08-01 12:17:15+00:00,1554078806251536386,@Diegow___ @FGuerreiroMEP @cirogomes @GloboNews 500 anos que o Brasil é dito como país do futuro? 🙄,Ciro,    500 anos que o brasil é dito como país do futuro? 🙄
2022-08-01 12:17:00+00:00,1554078745157402624,@cirogomes @GloboNews https://t.co/1QpDwmyila,Ciro,  
2022-08-01 12:16:56+00:00,1554078724844306434,"@cirogomes @CartunistaT Nem abusando do uso de marcas conhecidas, a campanha do Ciro decola. Pelo contrário, parece ter o efeito contrário esta ligação com este cartunista, é uma animação pior que a outra. Associar o Ciro ao Mestre dos Magos, aquele que some quando mais precisam dele? PQP! Parabéns!",Ciro,"  nem abusando do uso de marcas conhecidas, a campanha do ciro decola. pelo contrário, parece ter o efeito contrário esta ligação com este cartunista, é uma animação pior que a outra. associar o ciro ao mestre dos magos, aquele que some quando mais precisam dele? pqp! parabéns!"
2022-08-01 12:16:46+00:00,1554078686160322561,@GuitarristAzul @LulaOficial @cirogomes Eu sou @cirogomes,Ciro,   eu sou 
2022-08-01 12:16:37+00:00,1554078648826843136,"@oBarbudinho @cirogomes ""Muito bom seu stand up comedy""",Ciro,"  ""muito bom seu stand up comedy"""
2022-08-01 12:16:35+00:00,1554078640173993984,"@cirogomes @CartunistaT E vc é o mestre dos magos, que não queria deixar os garotos descobrirem a saida da caverna, essa é a história real, tudo articulado para que eles não saíssem, Cirão para de usar esse bagulho estragado",Ciro,"  e vc é o mestre dos magos, que não queria deixar os garotos descobrirem a saida da caverna, essa é a história real, tudo articulado para que eles não saíssem, cirão para de usar esse bagulho estragado"
2022-08-01 12:16:34+00:00,1554078633110786049,@VanAzevedo1 @BrazilFight Ele é  louco. Jaja elogia o pinguço.  Tudo depende dobrando de cachaça  que o @cirogomes toma.,Ciro,  ele é  louco. jaja elogia o pinguço.  tudo depende dobrando de cachaça  que o  toma.
2022-08-01 12:16:33+00:00,1554078631391010824,@renato_abreu88 @cirogomes Pra gente não faz diferença!! Estamos só esperando pra ver quem vai disputar o segundo turno conosco!,Ciro,  pra gente não faz diferença!! estamos só esperando pra ver quem vai disputar o segundo turno conosco!
2022-08-01 12:16:26+00:00,1554078599447298049,@cirogomes @CartunistaT Se eu fosse cirista eu já tinha me enterrado de vergonha 🤧,Ciro,  se eu fosse cirista eu já tinha me enterrado de vergonha 🤧
2022-08-01 12:16:13+00:00,1554078545944760320,Impossível discordar de Ciro Gomes nessa. Infelizmente Lula e PT contribuíram muito para o bolsonaro sair do esgoto da história e se tornar o pior presidentede de nossa república. https://t.co/M0owyZIy2p,Ciro,impossível discordar de ciro gomes nessa. infelizmente lula e pt contribuíram muito para o bolsonaro sair do esgoto da história e se tornar o pior presidentede de nossa república. 
